name	eng
安哥拉	Angola
	French Southern and Antarctic Lands
蒲隆地	Burundi
貝南	Benin
布吉納法索	Burkina Faso
波札那	Botswana
中非	Central African Republic
象牙海岸	Ivory Coast
喀麥隆	Cameroon
民主剛果	Democratic Republic of the Congo
剛果民主共和國	Democratic Republic of the Congo
剛果	Republic of Congo
葛摩聯盟	Comoros
維德角	Cape Verde
吉布地	Djibouti
阿爾及利亞	Algeria
埃及	Egypt
厄利垂亞	Eritrea
衣索比亞	Ethiopia
加彭	Gabon
迦納	Ghana
幾內亞	Guinea
甘比亞	Gambia
幾內亞比索	Guinea Bissau
赤道幾內亞	Equatorial Guinea
	British Indian Ocean Territory
肯亞	Kenya
賴比瑞亞	Liberia
利比亞	Libya
賴索托	Lesotho
摩洛哥	Morocco
馬達加斯加	Madagascar
馬利	Mali
莫三比克	Mozambique
茅利塔尼亞伊斯蘭共和國	Mauritania
模里西斯	Mauritius
馬拉威	Malawi
納米比亞	Namibia
尼日	Niger
奈及利亞	Nigeria
盧安達	Rwanda
	Western Sahara
蘇丹	Sudan
南蘇丹	South Sudan
塞內加爾	Senegal
	Saint Helena
獅子山	Sierra Leone
索馬利亞	Somalia
	Sao Tome and Principe
史瓦帝尼	Swaziland
塞席爾	Seychelles
查德	Chad
多哥	Togo
突尼西亞	Tunisia
坦尚尼亞	United Republic of Tanzania
烏干達	Uganda
南非	South Africa
尚比亞	Zambia
辛巴威	Zimbabwe
阿魯巴	Aruba
安圭拉	Anguilla
阿根廷	Argentina
安地卡及巴布達	Antigua and Barbuda
巴哈馬	The Bahamas
	Saint Barthelemy
貝里斯	Belize
	Bermuda
玻利維亞	Bolivia
巴西	Brazil
巴貝多	Barbados
加拿大	Canada
智利	Chile
哥倫比亞	Colombia
哥斯大黎加	Costa Rica
古巴	Cuba
	Curaçao
	Cayman Islands
多米尼克	Dominica
多明尼加	Dominican Republic
厄瓜多	Ecuador
	Falkland Islands
格瑞那達	Grenada
格陵蘭	Greenland
瓜地馬拉	Guatemala
蓋亞那	Guyana
宏都拉斯	Honduras
海地	Haiti
牙買加	Jamaica
聖克里斯多福	Saint Kitts and Nevis
聖露西亞	Saint Lucia
	Saint Martin
墨西哥	Mexico
蒙瑟拉特	Montserrat
尼加拉瓜	Nicaragua
巴拿馬	Panama
秘魯	Peru
波多黎各	Puerto Rico
巴拉圭	Paraguay
	South Georgia and South Sandwich Islands
薩爾瓦多	El Salvador
	Saint Pierre and Miquelon
蘇利南	Suriname
	Sint Maarten
	Turks and Caicos Islands
千里達及托巴哥	Trinidad and Tobago
烏拉圭	Uruguay
美國	United States of America
聖文森及格瑞納丁	Saint Vincent and the Grenadines
委內瑞拉	Venezuela
	British Virgin Islands
	United States Virgin Islands
阿富汗	Afghanistan
阿拉伯聯合大公國	United Arab Emirates
亞美尼亞	Armenia
亞塞拜然	Azerbaijan
孟加拉	Bangladesh
巴林	Bahrain
汶萊	Brunei
不丹	Bhutan
中國	China
中國大陸	China
賽普勒斯	Cyprus
喬治亞	Georgia
香港	Hong Kong S.A.R.
印尼	Indonesia
印度	India
伊朗	Iran
伊拉克	Iraq
以色列	Israel
約旦	Jordan
日本	Japan
哈薩克	Kazakhstan
吉爾吉斯	Kyrgyzstan
柬埔寨	Cambodia
南韓	South Korea
科威特	Kuwait
寮國	Laos
黎巴嫩	Lebanon
斯里蘭卡	Sri Lanka
澳門	Macao S.A.R
馬爾地夫	Maldives
緬甸	Myanmar
蒙古	Mongolia
馬來西亞	Malaysia
尼泊爾	Nepal
阿曼	Oman
巴基斯坦	Pakistan
菲律賓	Philippines
北韓	North Korea
巴勒斯坦	Palestine
卡達	Qatar
沙烏地阿拉伯	Saudi Arabia
新加坡	Singapore
敘利亞	Syria
泰國	Thailand
塔吉克	Tajikistan
土庫曼	Turkmenistan
	East Timor
土耳其	Turkey
	Taiwan
烏茲別克	Uzbekistan
越南	Vietnam
葉門	Yemen
阿爾巴尼亞	Albania
	Aland
安道爾	Andorra
奧地利	Austria
比利時	Belgium
保加利亞	Bulgaria
波士尼亞及赫塞哥維納	Bosnia and Herzegovina
白俄羅斯	Belarus
瑞士	Switzerland
捷克	Czech Republic
德國	Germany
丹麥	Denmark
西班牙	Spain
愛沙尼亞	Estonia
芬蘭	Finland
法國	France
	Faroe Islands
英國	United Kingdom
	Guernsey
	Gibraltar
希臘	Greece
克羅埃西亞	Croatia
匈牙利	Hungary
	Isle of Man
愛爾蘭	Ireland
冰島	Iceland
義大利	Italy
	Jersey
列支敦斯登	Liechtenstein
立陶宛	Lithuania
盧森堡	Luxembourg
拉脫維亞	Latvia
摩納哥	Monaco
摩爾多瓦	Moldova
北馬其頓	Macedonia
馬爾他	Malta
蒙特內哥羅共和國	Montenegro
荷蘭	Netherlands
挪威	Norway
波蘭	Poland
葡萄牙	Portugal
羅馬尼亞	Romania
俄羅斯	Russia
	San Marino
塞爾維亞	Republic of Serbia
斯洛伐克	Slovakia
斯洛維尼亞	Slovenia
瑞典	Sweden
烏克蘭	Ukraine
梵蒂岡	Vatican
美屬薩摩亞	American Samoa
澳大利亞	Australia
	Cook Islands
斐濟	Fiji
	Federated States of Micronesia
關島	Guam
	Heard Island and McDonald Islands
吉里巴斯	Kiribati
馬紹爾群島共和國	Marshall Islands
	Northern Mariana Islands
紐喀里多尼亞	New Caledonia
	Norfolk Island
紐埃	Niue
諾魯	Nauru
紐西蘭	New Zealand
	Pitcairn Islands
帛琉	Palau
巴布亞紐幾內亞	Papua New Guinea
法屬玻里尼西亞	French Polynesia
大溪地	French Polynesia
索羅門群島	Solomon Islands
東加	Tonga
吐瓦魯	Tuvalu
	United States Minor Outlying Islands
萬那杜	Vanuatu
	Wallis and Futuna
薩摩亞	Samoa
	Ashmore and Cartier Islands
	Bajo Nuevo Bank (Petrel Is.)
	Clipperton Island
	Cyprus No Mans Area
	Coral Sea Islands
	Northern Cyprus
	Dhekelia Sovereign Base Area
	Indian Ocean Territories
	Baykonur Cosmodrome
	Siachen Glacier
科索沃	Kosovo
	Spratly Islands
	Scarborough Reef
	Serranilla Bank
	Somaliland
	US Naval Base Guantanamo Bay
	Akrotiri Sovereign Base Area
	Antarctica
